"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WESF"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-01",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-02",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-03",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-04",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-05",,,"0.25",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-06",,,"0.57",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-07",,,"0.23",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-01-08",,,"0.41",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-12",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-13",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-14",,,"0.20",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-15",,,"0.02",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-16",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-17",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-18",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-19",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-20",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-21",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-22",,,"0.25",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-23",,,"0.29",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-24",,,"0.63",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-25",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-26",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-27",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-28",,,"0.07",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-29",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-30",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-03-31",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-01",,,"0.01",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-02",,,"0.16",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-03",,,"0.00",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-04",,,"0.08",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-05",,,"0.24",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-06",,,"0.21",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-07",,,"0.43",,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","47.6117","-122.3085","121.3","2018-04-08",,,"0.55",,,,,,,
